,light1,light3,light5,light7,light9,light11,light13,light15,light17,light19,light21,light23,light25,light27,light29
sensor1,0.295583611,0.034722222,0.010307908,0.070768998,0.014945449,0.036911488,0.016061124,0.008219628,0.01158056,0.007781236,0.007938308,0.006129479,0.004686798,0.00492189,0.004476848
sensor2,0.302973202,0.058876812,0.011392951,0.090448078,0.018011182,0.038041431,0.01835557,0.008767604,0.012327692,0.007781236,0.007938308,0.006129479,0.004686798,0.006234394,0.005755948
sensor3,0.248659713,0.113602053,0.013834298,0.104072056,0.025675515,0.035404896,0.023326871,0.010137542,0.012327692,0.007781236,0.007938308,0.007764007,0.005238186,0.005906268,0.005436173
sensor4,0.165896302,0.180782005,0.020344555,0.107856494,0.038704881,0.030885122,0.028298171,0.01150748,0.011954126,0.009633911,0.007938308,0.007355375,0.00551388,0.00492189,0.005755948
sensor5,0.096064674,0.254755435,0.032822549,0.100287617,0.060165013,0.025988701,0.031357433,0.013973368,0.011954126,0.010374981,0.007560293,0.007355375,0.005789574,0.006234394,0.006715272
sensor6,0.046554419,0.289477657,0.063203752,0.072282773,0.090822345,0.019585687,0.033269471,0.01835717,0.010833427,0.011857122,0.006804264,0.007764007,0.006065268,0.005250016,0.006395498
sensor7,0.026602525,0.245697464,0.116913378,0.048062368,0.112282477,0.015819209,0.032122248,0.024384898,0.009712727,0.014080332,0.006804264,0.007764007,0.006340962,0.005250016,0.007035047
sensor8,0.016626578,0.166817633,0.192052603,0.025355737,0.11649786,0.012429379,0.027533356,0.026576799,0.008218462,0.013339262,0.006804264,0.008172639,0.006340962,0.004593764,0.006715272
sensor9,0.014040222,0.104544082,0.287807644,0.017408417,0.099636327,0.011676083,0.026003725,0.030686613,0.007844895,0.014080332,0.00567022,0.008989903,0.006616656,0.005250016,0.007674597
sensor10,0.274892759,0.033589976,0.010579169,0.100287617,0.015328666,0.064783427,0.018737978,0.008493616,0.01568979,0.009263376,0.010962425,0.006538111,0.004962492,0.006234394,0.005755948
